Rank,Universitas,Negara,Score
537Top 2.7%,Rovira i Virgili University,Spain,73.9
538Top 2.7%,Beijing Jiaotong University,China,73.9
539Top 2.7%,Carleton University,Canada,73.9
540Top 2.7%,University of Oviedo,Spain,73.9
541Top 2.7%,North China Electric Power University,China,73.9
542Top 2.7%,University of Verona,Italy,73.8
543Top 2.7%,University of Konstanz,Germany,73.8
544Top 2.7%,Institut Agro,France,73.8
545Top 2.7%,Joint Institute for Nuclear Research,Russia,73.8
546Top 2.7%,Oklahoma State University,USA,73.8
547Top 2.7%,Ocean University of China,China,73.8
548Top 2.7%,Mahidol University,Thailand,73.8
549Top 2.7%,Scuola Normale Superiore di Pisa,Italy,73.8
550Top 2.7%,University of Bremen,Germany,73.8
551Top 2.7%,Qingdao University,China,73.8
552Top 2.7%,"Royal Holloway, University of London",United Kingdom,73.7
553Top 2.7%,University of Arkansas - Fayetteville,USA,73.7
554Top 2.7%,Indian Institute of Technology Bombay,India,73.7
555Top 2.8%,Colorado School of Mines,USA,73.7
556Top 2.8%,Auburn University,USA,73.7
557Top 2.8%,University of Pretoria,South Africa,73.7
558Top 2.8%,Nanjing Normal University,China,73.7
559Top 2.8%,Bar-Ilan University,Israel,73.7
560Top 2.8%,Masaryk University,Czech Republic,73.7
561Top 2.8%,Hefei University of Technology,China,73.7
562Top 2.8%,University of Macau,China,73.7
563Top 2.8%,University of Canterbury,New Zealand,73.6
564Top 2.8%,Saint Petersburg University,Russia,73.6
565Top 2.8%,Nanchang University,China,73.6
566Top 2.8%,Guangdong University of Technology,China,73.6
567Top 2.8%,Savoie Mont Blanc University,France,73.6
568Top 2.8%,Central China Normal University,China,73.6
569Top 2.8%,Medical University of Graz,Austria,73.6
570Top 2.8%,Indian Institute of Technology Madras,India,73.6
571Top 2.8%,Zhejiang University of Technology,China,73.6
572Top 2.8%,Swansea University,United Kingdom,73.6
573Top 2.8%,Renmin University of China,China,73.5
574Top 2.8%,Medical University of Innsbruck,Austria,73.5
575Top 2.9%,Bocconi University,Italy,73.5
576Top 2.9%,Clemson University,USA,73.5
577Top 2.9%,China University of Geosciences (Wuhan),China,73.5
578Top 2.9%,National Technical University of Athens,Greece,73.5
579Top 2.9%,Yangzhou University,China,73.5
580Top 2.9%,Tata Institute of Fundamental Research,India,73.5
581Top 2.9%,Polytechnic University of Turin,Italy,73.5
582Top 2.9%,Federal University of São Paulo,Brazil,73.5
583Top 2.9%,University of Aveiro,Portugal,73.5
584Top 2.9%,Brunel University London,United Kingdom,73.4
585Top 2.9%,University of Jyväskylä,Finland,73.4
586Top 2.9%,Chiba University,Japan,73.4
587Top 2.9%,Swinburne University of Technology,Australia,73.4
588Top 2.9%,Hitotsubashi University,Japan,73.4
589Top 2.9%,Donghua University,China,73.4
590Top 2.9%,Chang Gung University,Taiwan,73.4
591Top 2.9%,Palacký University Olomouc,Czech Republic,73.4
592Top 2.9%,University of Palermo,Italy,73.4
593Top 2.9%,Osaka Metropolitan University,Japan,73.4
594Top 2.9%,University of Graz,Austria,73.4
595Top 2.9%,University of Minho,Portugal,73.3
596Top 3%,Southwest Jiaotong University,China,73.3
597Top 3%,Gustave Eiffel University,France,73.3
598Top 3%,San Diego State University,USA,73.3
599Top 3%,Tianjin Medical University,China,73.3
600Top 3%,Ewha Womans University,South Korea,73.3
601Top 3%,University of Sherbrooke,Canada,73.3
602Top 3%,AGH University of Science and Technology,Poland,73.3
603Top 3%,University of Iceland,Iceland,73.3
604Top 3%,University of Salerno,Italy,73.3
605Top 3%,Rensselaer Polytechnic Institute,USA,73.3
606Top 3%,University of Texas at Arlington,USA,73.2
607Top 3%,Indian Institute of Technology Delhi,India,73.2
608Top 3%,Beijing University of Technology,China,73.2
609Top 3%,University of Brescia,Italy,73.2
610Top 3%,University of Nebraska Medical Center,USA,73.2
611Top 3%,Tehran University of Medical Sciences,Iran,73.2
612Top 3%,Illinois Institute of Technology,USA,73.2
613Top 3%,Naval Medical University,China,73.2
614Top 3%,University of St.Gallen,Switzerland,73.2
615Top 3%,National University of Defense Technology,China,73.2
616Top 3.1%,National Central University,Taiwan,73.2
617Top 3.1%,National Research Nuclear University MEPhI,Russia,73.1
618Top 3.1%,Brigham Young University,USA,73.1
619Top 3.1%,University of Wisconsin–Milwaukee,USA,73.1
620Top 3.1%,Concordia University,Canada,73.1
621Top 3.1%,University of Delhi,India,73.1
622Top 3.1%,Guangzhou Medical University,China,73.1
623Top 3.1%,University of Burgundy,France,73.1
624Top 3.1%,Utah State University,USA,73.1
625Top 3.1%,Chung-Ang University,South Korea,73.1
626Top 3.1%,University of Cagliari,Italy,73.1
627Top 3.1%,Middle East Technical University,Turkey,73.1
628Top 3.1%,University of Johannesburg,South Africa,73.1
629Top 3.1%,South China Normal University,China,73.0
630Top 3.1%,"Institute of Cancer Research, University of London",United Kingdom,73.0
631Top 3.1%,Jeonbuk National University,South Korea,73.0
632Top 3.1%,Catholic University of Korea,South Korea,73.0
633Top 3.1%,University of Caen Normandy,France,73.0
634Top 3.1%,Swarthmore College,USA,73.0
635Top 3.1%,Ioffe Physical-Technical Institute of the Russian Academy of Sciences,Russia,73.0
636Top 3.1%,Hohai University,China,73.0
637Top 3.2%,Czech Technical University in Prague,Czech Republic,73.0
638Top 3.2%,Hacettepe University,Turkey,73.0
639Top 3.2%,University of Eastern Piedmont,Italy,73.0
640Top 3.2%,University of Udine,Italy,72.9
641Top 3.2%,University of Québec at Montreal,Canada,72.9
642Top 3.2%,College of William & Mary,USA,72.9
643Top 3.2%,Konkuk University,South Korea,72.9
644Top 3.2%,Loughborough University,United Kingdom,72.9
645Top 3.2%,"St George's, University of London",United Kingdom,72.9
646Top 3.2%,South China Agricultural University,China,72.9
647Top 3.2%,University of La Laguna,Spain,72.9
648Top 3.2%,Memorial University of Newfoundland,Canada,72.9
649Top 3.2%,University of Cantabria,Spain,72.9
650Top 3.2%,Bielefeld University,Germany,72.9
651Top 3.2%,University of Bayreuth,Germany,72.9
652Top 3.2%,University of Campania Luigi Vanvitelli,Italy,72.8
653Top 3.2%,University of Málaga,Spain,72.8
654Top 3.2%,University of New Hampshire,USA,72.8
655Top 3.2%,China University of Mining and Technology (Xuzhou),China,72.8
656Top 3.2%,University of Texas at San Antonio,USA,72.8
657Top 3.3%,King Fahd University of Petroleum and Minerals,Saudi Arabia,72.8
658Top 3.3%,Shaanxi Normal University,China,72.8
659Top 3.3%,"Northwest University, Xi'an",China,72.8
660Top 3.3%,University of Haifa,Israel,72.8
661Top 3.3%,Comenius University in Bratislava,Slovak Republic,72.8
662Top 3.3%,"China University of Geosciences, Beijing",China,72.8
663Top 3.3%,National Polytechnic Institute,Mexico,72.8
664Top 3.3%,CINVESTAV,Mexico,72.7
665Top 3.3%,Ankara University,Turkey,72.7
666Top 3.3%,Sharif University of Technology,Iran,72.7
667Top 3.3%,University of Kent,United Kingdom,72.7
668Top 3.3%,University of Galway,Ireland,72.7
669Top 3.3%,Semmelweis University,Hungary,72.7
670Top 3.3%,Henryk Niewodniczański Institute of Nuclear Physics,Poland,72.7
671Top 3.3%,"University of Nevada, Reno",USA,72.7
672Top 3.3%,Army Medical University,China,72.7
673Top 3.3%,ShanghaiTech University,China,72.7
674Top 3.3%,Tilburg University,Netherlands,72.7
675Top 3.3%,Hong Kong Baptist University,China,72.7
676Top 3.3%,Sejong University,South Korea,72.6
677Top 3.3%,Nanjing University of Posts and Telecommunications,China,72.6
678Top 3.4%,Boğaziçi University,Turkey,72.6
679Top 3.4%,University of Plymouth,United Kingdom,72.6
680Top 3.4%,Wenzhou Medical University,China,72.6
681Top 3.4%,University of Fribourg,Switzerland,72.6
682Top 3.4%,University of Angers,France,72.6
683Top 3.4%,National University of La Plata,Argentina,72.6
684Top 3.4%,University of Oklahoma Health Sciences Center,USA,72.6
685Top 3.4%,Northeast Normal University,China,72.6
686Top 3.4%,Taipei Medical University,Taiwan,72.6
687Top 3.4%,Istanbul University,Turkey,72.6
688Top 3.4%,Beijing University of Posts and Telecommunications,China,72.6
689Top 3.4%,Yokohama City University,Japan,72.5
690Top 3.4%,University of Maine,USA,72.5
691Top 3.4%,University of Wyoming,USA,72.5
692Top 3.4%,COMSATS University Islamabad,Pakistan,72.5
693Top 3.4%,Shanxi University,China,72.5
694Top 3.4%,Institut national des sciences appliquées de Lyon,France,72.5
695Top 3.4%,Sciences Po,France,72.5
696Top 3.4%,Rio de Janeiro State University,Brazil,72.5
697Top 3.4%,University of North Texas,USA,72.5
698Top 3.4%,Oswaldo Cruz Foundation,Brazil,72.5
699Top 3.5%,Tokyo Medical and Dental University,Japan,72.5
700Top 3.5%,Heriot-Watt University,United Kingdom,72.5
701Top 3.5%,Binghamton University,USA,72.4
702Top 3.5%,Haverford College,USA,72.4
703Top 3.5%,Harbin Medical University,China,72.4
704Top 3.5%,Victoria University of Wellington,New Zealand,72.4
705Top 3.5%,Guangxi University,China,72.4
706Top 3.5%,Chungnam National University,South Korea,72.4
707Top 3.5%,Cold Spring Harbor Laboratory,USA,72.4
708Top 3.5%,University of Szeged,Hungary,72.4
709Top 3.5%,Shinshu University,Japan,72.4
710Top 3.5%,University of Poitiers,France,72.4
711Top 3.5%,Massey University,New Zealand,72.4
712Top 3.5%,Roma Tre University,Italy,72.4
713Top 3.5%,Loyola University Chicago,USA,72.4
714Top 3.5%,American University of Beirut,Lebanon,72.3
715Top 3.5%,Inha University,South Korea,72.3
716Top 3.5%,University of Jinan,China,72.3
717Top 3.5%,University of Texas Medical Branch,USA,72.3
718Top 3.5%,Federal University of Santa Catarina,Brazil,72.3
719Top 3.6%,"University of Natural Resources and Life Sciences, Vienna",Austria,72.3
720Top 3.6%,University of Missouri-Kansas City,USA,72.3
721Top 3.6%,Indian Institute of Technology Kharagpur,India,72.3
722Top 3.6%,Shandong University of Science and Technology,China,72.3
723Top 3.6%,Warsaw University of Technology,Poland,72.3
724Top 3.6%,University of Salamanca,Spain,72.3
725Top 3.6%,Central Party School of the Communist Party of China,China,72.3
726Top 3.6%,Mississippi State University,USA,72.3
727Top 3.6%,"China Medical University, PRC",China,72.2
728Top 3.6%,Vilnius University,Lithuania,72.2
729Top 3.6%,Otto von Guericke University Magdeburg,Germany,72.2
730Top 3.6%,Kanazawa University,Japan,72.2
731Top 3.6%,University of Calabria,Italy,72.2
732Top 3.6%,University of Massachusetts Boston,USA,72.2
733Top 3.6%,Montana State University - Bozeman,USA,72.2
734Top 3.6%,Air Force Medical University,China,72.2
735Top 3.6%,Istanbul Technical University,Turkey,72.2
736Top 3.6%,University of Ioannina,Greece,72.2
737Top 3.6%,Yeungnam University,South Korea,72.2
738Top 3.6%,National Chung Hsing University,Taiwan,72.2
739Top 3.6%,Chongqing Medical University,China,72.2
740Top 3.7%,Beijing Forestry University,China,72.1
741Top 3.7%,Henan University,China,72.1
742Top 3.7%,Saarland University,Germany,72.1
743Top 3.7%,Quaid-i-Azam University,Pakistan,72.1
744Top 3.7%,Isfahan University of Technology,Iran,72.1
745Top 3.7%,Anhui University,China,72.1
746Top 3.7%,Tokyo Metropolitan University,Japan,72.1
747Top 3.7%,"Birkbeck, University of London",United Kingdom,72.1
748Top 3.7%,Toulouse INP,France,72.1
749Top 3.7%,University of Murcia,Spain,72.1
750Top 3.7%,Ningbo University,China,72.1
751Top 3.7%,Ajou University,South Korea,72.1
752Top 3.7%,China University of Petroleum (East China),China,72.1
753Top 3.7%,University of Debrecen,Hungary,72.0
754Top 3.7%,Budker Institute of Nuclear Physics of the Siberian Branch of the Russian Academy of Sciences,Russia,72.0
755Top 3.7%,University of Castilla–La Mancha,Spain,72.0
756Top 3.7%,Kumamoto University,Japan,72.0
757Top 3.7%,"University of Córdoba, Spain",Spain,72.0
758Top 3.7%,University of Arkansas for Medical Sciences,USA,72.0
759Top 3.7%,Panjab University,India,72.0
760Top 3.8%,University of Cyprus,Cyprus,72.0
761Top 3.8%,International School for Advanced Studies,Italy,72.0
762Top 3.8%,Kangwon National University,South Korea,72.0
763Top 3.8%,Bangor University,United Kingdom,72.0
764Top 3.8%,Augusta University,USA,72.0
765Top 3.8%,Harbin Engineering University,China,72.0
766Top 3.8%,Federal University of Paraná,Brazil,71.9
767Top 3.8%,University of Essex,United Kingdom,71.9
768Top 3.8%,Niigata University,Japan,71.9
769Top 3.8%,Örebro University,Sweden,71.9
770Top 3.8%,Tarbiat Modares University,Iran,71.9
771Top 3.8%,University of Crete,Greece,71.9
772Top 3.8%,Ain Shams University,Egypt,71.9
773Top 3.8%,Kitasato University,Japan,71.9
774Top 3.8%,National Research University Higher School of Economics,Russia,71.9
775Top 3.8%,National University of Colombia,Colombia,71.9
776Top 3.8%,Kaohsiung Medical University,Taiwan,71.9
777Top 3.8%,University of Girona,Spain,71.9
778Top 3.8%,Shandong Normal University,China,71.9
779Top 3.8%,University of Alaska Fairbanks,USA,71.9
780Top 3.8%,University of Lübeck,Germany,71.8
781Top 3.9%,Tokyo University of Science,Japan,71.8
782Top 3.9%,Technical University of Braunschweig,Germany,71.8
783Top 3.9%,University of Idaho,USA,71.8
784Top 3.9%,Marche Polytechnic University,Italy,71.8
785Top 3.9%,"Putra University, Malaysia",Malaysia,71.8
786Top 3.9%,Amirkabir University of Technology,Iran,71.8
787Top 3.9%,"University of the Andes, Colombia",Colombia,71.8
788Top 3.9%,Courtauld Institute of Art,United Kingdom,71.8
789Top 3.9%,Tomsk State University,Russia,71.8
790Top 3.9%,Kent State University,USA,71.8
791Top 3.9%,University of Messina,Italy,71.8
792Top 3.9%,"University of Maryland, Baltimore County",USA,71.8
793Top 3.9%,Norwegian University of Life Sciences,Norway,71.8
794Top 3.9%,"University of Science, Malaysia",Malaysia,71.7
795Top 3.9%,University of Salento,Italy,71.7
796Top 3.9%,University of the Balearic Islands,Spain,71.7
797Top 3.9%,Northern Arizona University,USA,71.7
798Top 3.9%,University of Hohenheim,Germany,71.7
799Top 3.9%,Shandong First Medical University & Shandong Academy of Medical Sciences,China,71.7
800Top 3.9%,China University of Petroleum-Beijing,China,71.7
801Top 4%,University of Vigo,Spain,71.7
802Top 4%,"Graduate School, GRINM",China,71.7
803Top 4%,University of Rhode Island,USA,71.7
804Top 4%,Carl von Ossietzky University of Oldenburg,Germany,71.7
805Top 4%,National Taiwan University of Science and Technology,Taiwan,71.7
806Top 4%,University of Greifswald,Germany,71.7
807Top 4%,University of North Carolina at Charlotte,USA,71.7
808Top 4%,Nanjing Forestry University,China,71.6
809Top 4%,Anhui Medical University,China,71.6
810Top 4%,University of Alcalá,Spain,71.6
811Top 4%,Guangzhou University,China,71.6
812Top 4%,Institute for Nuclear Research of the Russian Academy of Sciences,Russia,71.6
813Top 4%,Hangzhou Normal University,China,71.6
814Top 4%,SUNY Downstate Medical Center,USA,71.6
815Top 4%,Adam Mickiewicz University in Poznań,Poland,71.6
816Top 4%,Qingdao University of Science and Technology,China,71.6
817Top 4%,Gyeongsang National University,South Korea,71.6
818Top 4%,University of Montana,USA,71.6
819Top 4%,National Centre for Nuclear Research,Poland,71.6
820Top 4%,Gwangju Institute of Science and Technology,South Korea,71.6
821Top 4%,"Open University, UK",United Kingdom,71.6
822Top 4.1%,Northumbria University,United Kingdom,71.5
823Top 4.1%,Indian Institute of Technology Kanpur,India,71.5
824Top 4.1%,University of Patras,Greece,71.5
825Top 4.1%,Dongguk University,South Korea,71.5
826Top 4.1%,Liverpool John Moores University,United Kingdom,71.5
827Top 4.1%,China Pharmaceutical University,China,71.5
828Top 4.1%,University of Shanghai for Science and Technology,China,71.5
829Top 4.1%,"University of Nevada, Las Vegas",USA,71.5
830Top 4.1%,University of Luxembourg,Luxembourg,71.5
831Top 4.1%,Ohio University,USA,71.5
832Top 4.1%,Centrale Lille Institut,France,71.5
833Top 4.1%,National University of Malaysia (UKM),Malaysia,71.5
834Top 4.1%,University of Wuppertal,Germany,71.5
835Top 4.1%,Toronto Metropolitan University,Canada,71.5
836Top 4.1%,University of Concepción,Chile,71.5
837Top 4.1%,University of Split,Croatia,71.4
838Top 4.1%,Cranfield University,United Kingdom,71.4
839Top 4.1%,Fujian Agriculture and Forestry University,China,71.4
840Top 4.1%,"University of Technology, Malaysia",Malaysia,71.4
841Top 4.1%,"University of California, Merced",USA,71.4
842Top 4.2%,Hasselt University,Belgium,71.4
843Top 4.2%,Taiyuan University of Technology,China,71.4
844Top 4.2%,London Business School,United Kingdom,71.4
845Top 4.2%,Graduate University for Advanced Studies,Japan,71.4
846Top 4.2%,Carlos III University of Madrid,Spain,71.4
847Top 4.2%,National Sun Yat-sen University,Taiwan,71.4
848Top 4.2%,Murdoch University,Australia,71.4
849Top 4.2%,University of L'Aquila,Italy,71.4
850Top 4.2%,Yerevan Physics Institute,Armenia,71.4
851Top 4.2%,Kunming University of Science and Technology,China,71.4
852Top 4.2%,Miami University,USA,71.3
853Top 4.2%,Shandong Agricultural University,China,71.3
854Top 4.2%,University of Alicante,Spain,71.3
855Top 4.2%,Graz University of Technology,Austria,71.3
856Top 4.2%,Henan Normal University,China,71.3
857Top 4.2%,University of Brasília,Brazil,71.3
858Top 4.2%,Juntendo University,Japan,71.3
859Top 4.2%,USI - University of Italian Speaking Switzerland,Switzerland,71.3
860Top 4.2%,Indian Institute of Technology Roorkee,India,71.3
861Top 4.2%,"City, University of London",United Kingdom,71.3
862Top 4.2%,Addis Ababa University,Ethiopia,71.3
863Top 4.3%,University of Basilicata,Italy,71.3
864Top 4.3%,Peter the Great St. Petersburg Polytechnic University,Russia,71.3
865Top 4.3%,University of Siegen,Germany,71.3
866Top 4.3%,Academy of Scientific & Innovative Research,India,71.2
867Top 4.3%,Zhejiang Normal University,China,71.2
868Top 4.3%,University of Brighton,United Kingdom,71.2
869Top 4.3%,University of Toledo,USA,71.2
870Top 4.3%,University of Wrocław,Poland,71.2
871Top 4.3%,Qatar University,Qatar,71.2
872Top 4.3%,Polytechnic University of Bari,Italy,71.2
873Top 4.3%,Getúlio Vargas Foundation,Brazil,71.2
874Top 4.3%,Belarusian State University,Belarus,71.2
875Top 4.3%,Jawaharlal Nehru University,India,71.2
876Top 4.3%,Uniformed Services University of the Health Sciences,USA,71.2
877Top 4.3%,Yanshan University,China,71.2
878Top 4.3%,Federal University of Pernambuco,Brazil,71.2
879Top 4.3%,Old Dominion University,USA,71.2
880Top 4.3%,Hunan Normal University,China,71.2
881Top 4.3%,Northern Illinois University,USA,71.2
882Top 4.3%,Nagasaki University,Japan,71.1
883Top 4.4%,Kindai University,Japan,71.1
884Top 4.4%,University of Insubria,Italy,71.1
885Top 4.4%,University of Orléans,France,71.1
886Top 4.4%,University of Portsmouth,United Kingdom,71.1
887Top 4.4%,North-West University,South Africa,71.1
888Top 4.4%,Tokushima University,Japan,71.1
889Top 4.4%,University of Denver,USA,71.1
890Top 4.4%,University of Tours,France,71.1
891Top 4.4%,Mansoura University,Egypt,71.1
892Top 4.4%,Khalifa University,United Arab Emirates,71.1
893Top 4.4%,Banaras Hindu University,India,71.1
894Top 4.4%,Federico Santa María Technical University,Chile,71.1
895Top 4.4%,Gachon University,South Korea,71.1
896Top 4.4%,Medical University of Warsaw,Poland,71.1
897Top 4.4%,Sichuan Agricultural University,China,71.0
898Top 4.4%,Sorbonne Paris Nord University,France,71.0
899Top 4.4%,Wroclaw Medical University,Poland,71.0
900Top 4.4%,"All India Institute of Medical Sciences, New Delhi",India,71.0
901Top 4.4%,Yunnan University,China,71.0
902Top 4.4%,Shahid Beheshti University of Medical Sciences,Iran,71.0
903Top 4.4%,Hangzhou Dianzi University,China,71.0
904Top 4.5%,University of Stirling,United Kingdom,71.0
905Top 4.5%,Fujian Medical University,China,71.0
906Top 4.5%,Aberystwyth University,United Kingdom,71.0
907Top 4.5%,Benemérita Autonomous University of Puebla,Mexico,71.0
908Top 4.5%,Jaume I University,Spain,71.0
909Top 4.5%,Chungbuk National University,South Korea,71.0
910Top 4.5%,Xiangtan University,China,71.0
911Top 4.5%,New Mexico State University,USA,71.0
912Top 4.5%,University of Valladolid,Spain,70.9
913Top 4.5%,Chiang Mai University,Thailand,70.9
914Top 4.5%,Claremont McKenna College,USA,70.9
915Top 4.5%,Gabriele d’Annunzio University,Italy,70.9
916Top 4.5%,Nantong University,China,70.9
917Top 4.5%,Inje University,South Korea,70.9
918Top 4.5%,New Jersey Institute of Technology,USA,70.9
919Top 4.5%,"University of Science and Technology, Korea",South Korea,70.9
920Top 4.5%,University of Limerick,Ireland,70.9
921Top 4.5%,Shizuoka University,Japan,70.9
922Top 4.5%,Brazilian Center for Research in Physics (CBPF),Brazil,70.9
923Top 4.5%,Babeș-Bolyai University,Romania,70.9
924Top 4.6%,Jawaharlal Nehru Centre for Advanced Scientific Research,India,70.9
925Top 4.6%,Keele University,United Kingdom,70.9
926Top 4.6%,Iran University of Science and Technology,Iran,70.9
927Top 4.6%,Missouri University of Science and Technology,USA,70.9
928Top 4.6%,Wesleyan University,USA,70.8
929Top 4.6%,King Juan Carlos University,Spain,70.8
930Top 4.6%,Jean Monnet University,France,70.8
931Top 4.6%,Ivane Javakhishvili Tbilisi State University,Georgia,70.8
932Top 4.6%,Qufu Normal University,China,70.8
933Top 4.6%,Michigan Technological University,USA,70.8
934Top 4.6%,Homi Bhabha National Institute,India,70.8
935Top 4.6%,Ege University,Turkey,70.8
936Top 4.6%,Federal University of Viçosa,Brazil,70.8
937Top 4.6%,"University of the Republic, Uruguay",Uruguay,70.8
938Top 4.6%,Indian Institute of Technology Guwahati,India,70.8
939Top 4.6%,University of Seoul,South Korea,70.8
940Top 4.6%,Meijo University,Japan,70.8
941Top 4.6%,Polytechnic University of Bucharest,Romania,70.8
942Top 4.6%,Shiraz University,Iran,70.8
943Top 4.6%,Norwegian School of Economics,Norway,70.8
944Top 4.6%,Aston University,United Kingdom,70.7
945Top 4.7%,Portland State University,USA,70.7
946Top 4.7%,Nihon University,Japan,70.7
947Top 4.7%,Budapest University of Technology and Economics,Hungary,70.7
948Top 4.7%,Federal University of Ceará,Brazil,70.7
949Top 4.7%,Federal University of São Carlos,Brazil,70.7
950Top 4.7%,Makerere University,Uganda,70.7
951Top 4.7%,Macau University of Science and Technology,China,70.7
952Top 4.7%,Sofia University,Bulgaria,70.7
953Top 4.7%,Mohammed V University,Morocco,70.7
954Top 4.7%,ITMO University,Russia,70.7
955Top 4.7%,Singapore University of Technology and Design,Singapore,70.7
956Top 4.7%,Edith Cowan University,Australia,70.7
957Top 4.7%,University of Mons,Belgium,70.7
958Top 4.7%,North Dakota State University,USA,70.7
959Top 4.7%,Capital Normal University,China,70.7
960Top 4.7%,University of Sassari,Italy,70.6
961Top 4.7%,Federal University of Pelotas,Brazil,70.6
962Top 4.7%,Paul Valéry University,France,70.6
963Top 4.7%,East Carolina University,USA,70.6
964Top 4.7%,Çukurova University,Turkey,70.6
965Top 4.8%,Bucknell University,USA,70.6
966Top 4.8%,University of Tabriz,Iran,70.6
967Top 4.8%,Fluminense Federal University,Brazil,70.6
968Top 4.8%,Alexandria University,Egypt,70.6
969Top 4.8%,Institut national de la recherche scientifique,Canada,70.6
970Top 4.8%,Marmara University,Turkey,70.6
971Top 4.8%,Ferdowsi University of Mashhad,Iran,70.6
972Top 4.8%,Australian Catholic University,Australia,70.6
973Top 4.8%,Gazi University,Turkey,70.6
974Top 4.8%,Ulster University,United Kingdom,70.6
975Top 4.8%,Oberlin College,USA,70.6
976Top 4.8%,Tunis El Manar University,Tunisia,70.6
977Top 4.8%,Hallym University,South Korea,70.5
978Top 4.8%,Technical University of Kaiserslautern,Germany,70.5
979Top 4.8%,Southern Illinois University Carbondale,USA,70.5
980Top 4.8%,Federal University of Rio Grande do Norte,Brazil,70.5
981Top 4.8%,Fujian Normal University,China,70.5
982Top 4.8%,Johannes Kepler University Linz,Austria,70.5
983Top 4.8%,Shanghai Normal University,China,70.5
984Top 4.8%,Zhejiang Sci-Tech University,China,70.5
985Top 4.8%,University of Akron,USA,70.5
986Top 4.9%,Federal University of ABC,Brazil,70.5
987Top 4.9%,University of Memphis,USA,70.5
988Top 4.9%,INSA Toulouse,France,70.5
989Top 4.9%,National University of Córdoba,Argentina,70.5
990Top 4.9%,University of Windsor,Canada,70.5
991Top 4.9%,Cheung Kong Graduate School of Business,China,70.5
992Top 4.9%,University of Naples Parthenope,Italy,70.5
993Top 4.9%,Shanghai University of Finance and Economics,China,70.4
994Top 4.9%,University of Western Brittany,France,70.4
995Top 4.9%,University of Extremadura,Spain,70.4
996Top 4.9%,Hebei University of Technology,China,70.4
997Top 4.9%,Villanova University,USA,70.4
998Top 4.9%,University of Regina,Canada,70.4
999Top 4.9%,Colgate University,USA,70.4
1000Top 4.9%,Shantou University,China,70.4
1001Top 4.9%,Tokai University,Japan,70.4
1002Top 4.9%,Babson College,USA,70.4
1003Top 4.9%,Victoria University,Australia,70.4
1004Top 4.9%,University of Hyogo,Japan,70.4
1005Top 4.9%,Wrocław University of Science and Technology,Poland,70.4
1006Top 4.9%,University of Texas at El Paso,USA,70.4
1007Top 5%,Guizhou University,China,70.4
1008Top 5%,Medical University of Lodz,Poland,70.4
1009Top 5%,American University,USA,70.4
1010Top 5%,Hubei University,China,70.3
1011Top 5%,Royal College of Surgeons in Ireland,Ireland,70.3
1012Top 5%,Federal University of Juiz de Fora,Brazil,70.3
1013Top 5%,Federal University of Bahia,Brazil,70.3
1014Top 5%,University of A Coruña,Spain,70.3
1015Top 5%,University of Antioquia,Colombia,70.3
1016Top 5%,University of Picardie Jules Verne,France,70.3
1017Top 5%,University of Louisiana at Lafayette,USA,70.3
1018Top 5%,Miguel Hernández University of Elche,Spain,70.3
1019Top 5%,Nanjing University of Chinese Medicine,China,70.3
1020Top 5%,Nicolaus Copernicus University,Poland,70.3
1021Top 5%,Chang'an University,China,70.3
1022Top 5%,L.D. Landau Institute for Theoretical Physics of the Russian Academy of Sciences,Russia,70.3
1023Top 5%,Auckland University of Technology,New Zealand,70.3
1024Top 5%,Ritsumeikan University,Japan,70.3
1025Top 5%,Hainan University,China,70.3
1026Top 5%,Tianjin University of Technology,China,70.3
1027Top 5.1%,Bilkent University,Turkey,70.2
1028Top 5.1%,Pomona College,USA,70.2
1029Top 5.1%,Gifu University,Japan,70.2
1030Top 5.1%,Qilu University of Technology,China,70.2
1031Top 5.1%,University of Mannheim,Germany,70.2
1032Top 5.1%,Lappeenranta University of Technology,Finland,70.2
1033Top 5.1%,Tiangong University,China,70.2
1034Top 5.1%,Cadi Ayyad University,Morocco,70.2
1035Top 5.1%,Pepperdine University,USA,70.2
1036Top 5.1%,Sanford Burnham Prebys Medical Discovery Institute,USA,70.2
1037Top 5.1%,National Taiwan Normal University,Taiwan,70.2
1038Top 5.1%,Aga Khan University,Pakistan,70.2
1039Top 5.1%,Tokyo University of Agriculture and Technology,Japan,70.2
1040Top 5.1%,"University of New England, Australia",Australia,70.2
1041Top 5.1%,University of Franche-Comté,France,70.2
1042Top 5.1%,Autonomous University of San Luis Potosí,Mexico,70.2
1043Top 5.1%,Federal University of Santa Maria,Brazil,70.2
1044Top 5.1%,University of Cádiz,Spain,70.2
1045Top 5.1%,Paracelsus Medical University,Austria,70.1
1046Top 5.1%,Hunter College,USA,70.1
1047Top 5.1%,Florida Atlantic University,USA,70.1
1048Top 5.2%,Ehime University,Japan,70.1
1049Top 5.2%,Manchester Metropolitan University,United Kingdom,70.1
1050Top 5.2%,University of South Bohemia,Czech Republic,70.1
1051Top 5.2%,Kazan Federal University,Russia,70.1
1052Top 5.2%,Yıldız Technical University,Turkey,70.1
1053Top 5.2%,Copenhagen Business School,Denmark,70.1
1054Top 5.2%,Yamagata University,Japan,70.1
1055Top 5.2%,Okinawa Institute of Science and Technology,Japan,70.1
1056Top 5.2%,Institute of Science and Technology Austria,Austria,70.1
